ISBN,Name,Author,Link,Pages,Year,Price
978-5-4461-1107-7,Философия Java. 4-е полное изд. ,Эккель Брюс,https://www.ozon.ru/product/filosofiya-java-ekkel-bryus-ekkel-bryus-211433285/?sh=jA_FdAAAAA&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm,1168,2022,2270.12
978-5-6040043-6-4,Java. Полное руководство ,Шилдт Герберт,https://www.ozon.ru/product/java-polnoe-rukovodstvo-145826480/?sh=jA_FdAAAAA&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm,1488,2018,6050
978-5-9909445-1-0,"Рефакторинг: улучшение проекта существующего кода
Задать вопрос
",Мартин Фаулер; Кент Бек; Джон Брант; Уильям Опдайк,https://www.ozon.ru/product/refaktoring-uluchshenie-proekta-sushchestvuyushchego-koda-342307415/?sh=jA_FdAAAAA&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm,448,2019,2289
"
978-5-4461-0960-9","Чистый код: создание, анализ и рефакторинг",Мартин Роберт С.,https://www.ozon.ru/product/chistyy-kod-sozdanie-analiz-i-refaktoring-martin-robert-s-397675252/?sh=jA_FdAAAAA&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm,464,2022,1198
